name,level,session,dois
O LANZ,2,3,"10.1007/s00138-016-0808-0, 10.1109/TPAMI.2015.2477843, 10.1016/j.cviu.2015.02.007, 10.1007/s11263-017-1026-6, 10.1007/s11263-013-0692-2, 10.1109/TPAMI.2015.2496269, 10.1109/TPAMI.2006.177"
A CORAZZA,2,1,"10.1109/34.329008, 10.1109/34.93811, 10.3390/info9100252, 10.1145/2407736.2407737, 10.1016/j.compbiomed.2016.01.014, 10.1093/database/baw071, 10.1006/csla.1997.0038, 10.1109/TPAMI.2007.1065, 10.1016/j.jss.2013.07.009, 10.1504/IJGUC.2016.10001945, 10.1007/s10664-010-9138-4, 10.1007/s10664-014-9347-3, 10.1007/s11219-016-9347-1, 10.1007/s10664-011-9187-3, 10.1016/0167-6393(93)90068-V"
N BIANCHESSI,2,4,"10.1287/trsc.2016.0730, 10.1016/j.dam.2013.11.018, 10.1016/j.ejor.2013.10.018, 10.1016/j.cor.2015.04.023, 10.1111/itor.12422, 10.1111/itor.12076, 10.1016/j.cor.2005.03.014, 10.1002/net.20467, 10.1016/j.dam.2013.02.013, 10.1007/s11590-012-0559-4, 10.1057/jors.2009.17, 10.1016/j.dam.2011.12.021, 10.1002/net.21519, 10.1016/j.cor.2014.06.002, 10.1016/j.ejor.2014.04.026, 10.1002/net.21529, 10.1016/j.ejor.2005.12.026"
C GRANA,1,1,"10.1016/j.procs.2014.10.014, 10.1109/TSMCA.2004.838501, 10.1016/j.patrec.2010.11.003, 10.1109/TMM.2016.2644872, 10.1109/TCSVT.2006.888818, 10.1007/s11042-010-0561-8, 10.1007/s00530-013-0315-3, 10.1109/TMI.2003.815901, 10.1016/j.cviu.2016.06.005, 10.1007/s00371-016-1320-2, 10.1007/s11042-016-3379-1, 10.1007/s00138-013-0580-3, 10.1142/S0219467803000956, 10.1109/TIP.2010.2044963, 10.1109/MMUL.2009.25, 10.4304/jmm.7.2.107-108, 10.1016/j.cviu.2015.01.005, 10.1007/s11042-014-2360-0, 10.1016/j.patrec.2012.08.015, 10.1109/TPAMI.2003.1233909"
R GIUGNO,1,1,"10.1093/bioinformatics/btt307, 10.1016/j.is.2012.09.001, 10.1109/TCBB.2016.2515595, 10.1186/s12859-018-2298-8, 10.1186/1752-0509-9-S3-S4, 10.1093/bib/bbw084, 10.1093/database/bap008, 10.1093/bioinformatics/bts589, 10.1109/34.935845, 10.1186/1471-2105-8-58, 10.1093/bib/bbr068, 10.1186/s12859-018-2310-3, 10.1186/s12859-018-2183-5, 10.1186/1471-2105-9-S4-S10, 10.1186/1471-2105-14-S7-S5, 10.3390/fi10050037, 10.1093/bioinformatics/btm032, 10.1093/database/bav069, 10.1109/TKDE.2003.1209009, 10.1186/1471-2105-14-S7-S13, 10.1186/1471-2105-14-S7-S1, 10.1093/bib/bbr055, 10.1186/1471-2105-11-96, 10.1186/s12859-018-2484-8, 10.1093/nar/gkx854, 10.1016/j.adhoc.2010.07.004, 10.1093/bioinformatics/btw223, 10.1186/1752-0509-9-S3-S5, 10.1142/S021972001000477X, 10.1007/s10618-017-0544-8"
M SERAFINI,2,5,"10.1109/TDSC.2007.70210, 10.14778/3025111.3025125, 10.14778/2536336.2536342, 10.14778/2732977.2732979, 10.14778/2735508.2735514, 10.1109/TDSC.2010.23"
F SILVESTRI,2,1,"10.1016/j.tcs.2015.04.003, 10.1016/j.tcs.2008.04.036, 10.1145/2812804, 10.1016/j.jpdc.2014.09.007, 10.1145/3181776, 10.1007/s00453-015-0073-z, 10.1145/2421119.2421125, 10.1016/j.is.2016.07.006, 10.1145/3237191, 10.1007/s00453-017-0285-5, 10.1016/j.jpdc.2013.04.008"
F SILVESTRI,2,5,"10.1016/j.tcs.2015.04.003, 10.1016/j.tcs.2008.04.036, 10.1145/2812804, 10.1016/j.jpdc.2014.09.007, 10.1145/3181776, 10.1007/s00453-015-0073-z, 10.1145/2421119.2421125, 10.1016/j.is.2016.07.006, 10.1145/3237191, 10.1007/s00453-017-0285-5, 10.1016/j.jpdc.2013.04.008"
F BERGENTI,1,2,"10.1016/j.cl.2011.07.002, 10.1007/s10588-016-9235-z, 10.3233/IA-150085, 10.1142/S0218843002000571, 10.1007/s10588-012-9150-x, 10.3233/FI-2018-1693, 10.1007/s10472-017-9544-z, 10.3233/FI-2009-177, 10.1109/4236.939446, 10.1016/j.cl.2017.06.001, 10.1016/j.procs.2014.05.511, 10.4018/jehmc.2010100101, 10.1142/S0218194002001086, 10.3233/FI-2015-1260, 10.1145/581571.581591, 10.1109/TSMCB.2005.846671"
F BERGENTI,1,5,"10.1016/j.cl.2011.07.002, 10.1007/s10588-016-9235-z, 10.3233/IA-150085, 10.1142/S0218843002000571, 10.1007/s10588-012-9150-x, 10.3233/FI-2018-1693, 10.1007/s10472-017-9544-z, 10.3233/FI-2009-177, 10.1109/4236.939446, 10.1016/j.cl.2017.06.001, 10.1016/j.procs.2014.05.511, 10.4018/jehmc.2010100101, 10.1142/S0218194002001086, 10.3233/FI-2015-1260, 10.1145/581571.581591, 10.1109/TSMCB.2005.846671"
