doi,subjects
10.1007/BF02944780,"Theoretical Computer Science, Hardware and Architecture, Computational Theory and Mathematics, Software, Computer Science Applications"
10.1186/s12859-018-2253-8,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1186/s12859-018-2436-3,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1007/BF02945456,"Theoretical Computer Science, Hardware and Architecture, Computational Theory and Mathematics, Software, Computer Science Applications"
10.1089/cmb.2013.0112,"Modelling and Simulation, Computational Theory and Mathematics, Genetics, Molecular Biology, Computational Mathematics"
10.1016/j.ic.2014.01.010,"Theoretical Computer Science, Computational Theory and Mathematics, Information Systems, Computer Science Applications"
10.1186/2043-9113-4-2,Health Informatics
10.1016/j.ic.2014.01.010,"Theoretical Computer Science, Computational Theory and Mathematics, Information Systems, Computer Science Applications"
10.1186/2043-9113-4-2,Health Informatics
10.1142/S0219649218500144,"Computer Networks and Communications, Library and Information Sciences, Computer Science Applications"
10.1016/S0167-739X(00)00105-9,"Computer Networks and Communications, Hardware and Architecture, Software"
10.3233/JHS-130476,"Computer Networks and Communications, Hardware and Architecture, Information Systems"
10.1016/j.cose.2013.03.009,"General Computer Science, Law"
10.3233/JCS-150530,"Computer Networks and Communications, Hardware and Architecture, Software, Safety, Risk, Reliability and Quality"
10.1006/jpdc.2000.1656,"Theoretical Computer Science, Computer Networks and Communications, Hardware and Architecture, Software, Artificial Intelligence"
10.1109/TDSC.2014.2315198,Electrical and Electronic Engineering
10.3233/JHS-160539,"Computer Networks and Communications, Hardware and Architecture, Information Systems"
10.3233/FI-2016-1444,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.1002/net.20089,"Computer Networks and Communications, Hardware and Architecture, Software, Information Systems"
10.1016/S0304-3975(99)00287-X,"Theoretical Computer Science, General Computer Science"
10.1093/comjnl/47.5.511,General Computer Science
10.1007/s11227-013-0975-y,"Theoretical Computer Science, Hardware and Architecture, Software, Information Systems"
10.1007/s10207-014-0228-y,"Computer Networks and Communications, Software, Safety, Risk, Reliability and Quality, Information Systems"
10.1109/TIM.2018.2815431,"Instrumentation, Electrical and Electronic Engineering"
10.3233/JHS-140499,"Computer Networks and Communications, Hardware and Architecture, Information Systems"
10.1016/j.jnca.2013.05.006,"Computer Networks and Communications, Hardware and Architecture, Computer Science Applications"
10.1504/IJHPCN.2013.056520,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1109/TAMD.2010.2089567,"Software, Artificial Intelligence"
10.1109/LRA.2018.2809700,"Artificial Intelligence, Computer Vision and Pattern Recognition, Computer Science Applications"
10.1109/LRA.2018.2812225,"Artificial Intelligence, Computer Vision and Pattern Recognition, Computer Science Applications"
10.3389/fnbot.2014.00008,"Artificial Intelligence, Biomedical Engineering"
10.1109/TPAMI.2013.197,"Computational Theory and Mathematics, Software, Applied Mathematics, Artificial Intelligence, Computer Vision and Pattern Recognition"
10.1016/j.future.2017.07.033,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.entcs.2013.07.005,"Theoretical Computer Science, General Computer Science"
10.1002/spe.2269,Software
10.1016/j.future.2013.12.036,"Computer Networks and Communications, Hardware and Architecture, Software"
10.3233/JHS-130482,"Computer Networks and Communications, Hardware and Architecture, Information Systems"
10.1016/j.future.2013.07.016,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1002/cpe.4390,"Theoretical Computer Science, Computer Networks and Communications, Computational Theory and Mathematics, Software, Computer Science Applications"
10.1007/s11219-013-9216-0,"Software, Safety, Risk, Reliability and Quality"
10.1016/j.cosrev.2018.01.001,"Theoretical Computer Science, General Computer Science"
10.1016/j.cose.2013.09.005,"General Computer Science, Law"
10.1016/S0167-739X(03)00092-X,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/S0167-739X(01)00039-5,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1007/s11036-018-1067-2,"Computer Networks and Communications, Hardware and Architecture, Software, Information Systems"
10.1016/j.peva.2005.01.001,"Modelling and Simulation, Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.future.2013.07.016,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.entcs.2005.04.018,"Theoretical Computer Science, General Computer Science"
10.1016/j.future.2013.12.036,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.entcs.2013.07.005,"Theoretical Computer Science, General Computer Science"
10.1016/j.entcs.2005.01.014,"Theoretical Computer Science, General Computer Science"
10.1016/j.peva.2005.07.023,"Modelling and Simulation, Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.peva.2014.02.004,"Modelling and Simulation, Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.future.2017.07.033,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1002/spe.2269,Software
10.1007/s10479-014-1591-9,"Management Science and Operations Research, General Decision Sciences"
10.1016/j.ress.2014.05.010,"Industrial and Manufacturing Engineering, Safety, Risk, Reliability and Quality"
10.1016/j.peva.2005.01.001,"Modelling and Simulation, Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.future.2013.07.016,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.entcs.2005.04.018,"Theoretical Computer Science, General Computer Science"
10.1016/j.future.2013.12.036,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.entcs.2013.07.005,"Theoretical Computer Science, General Computer Science"
10.1016/j.entcs.2005.01.014,"Theoretical Computer Science, General Computer Science"
10.1016/j.peva.2005.07.023,"Modelling and Simulation, Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.peva.2014.02.004,"Modelling and Simulation, Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.future.2017.07.033,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1002/spe.2269,Software
10.1007/s10479-014-1591-9,"Management Science and Operations Research, General Decision Sciences"
10.1016/j.ress.2014.05.010,"Industrial and Manufacturing Engineering, Safety, Risk, Reliability and Quality"
10.1016/j.image.2018.01.011,"Signal Processing, Electrical and Electronic Engineering, Software, Computer Vision and Pattern Recognition"
10.1111/j.1467-8659.2008.01176.x,Computer Networks and Communications
10.1561/1800000025,Computer Networks and Communications
10.3233/SW-2012-0064,"Computer Networks and Communications, Information Systems, Computer Science Applications"
10.1007/s00778-013-0324-z,"Hardware and Architecture, Information Systems"
10.1016/j.websem.2014.07.003,"Human-Computer Interaction, Computer Networks and Communications, Software"
10.1561/1800000025,Computer Networks and Communications
10.3233/SW-2012-0064,"Computer Networks and Communications, Information Systems, Computer Science Applications"
10.1007/s00778-013-0324-z,"Hardware and Architecture, Information Systems"
10.1016/j.websem.2014.07.003,"Human-Computer Interaction, Computer Networks and Communications, Software"
10.1561/1800000025,Computer Networks and Communications
10.3233/SW-2012-0064,"Computer Networks and Communications, Information Systems, Computer Science Applications"
10.1007/s00778-013-0324-z,"Hardware and Architecture, Information Systems"
10.1016/j.websem.2014.07.003,"Human-Computer Interaction, Computer Networks and Communications, Software"
10.1145/2448116.2448120,"Human-Computer Interaction, Artificial Intelligence"
10.1007/s11257-008-9052-2,"Human-Computer Interaction, Education, Computer Science Applications"
10.1093/iwc/iwt028,"Human-Computer Interaction, Software"
10.1016/j.jss.2018.01.010,"Hardware and Architecture, Software, Information Systems"
10.1016/j.jss.2014.03.081,"Hardware and Architecture, Software, Information Systems"
10.1016/j.jss.2018.01.010,"Hardware and Architecture, Software, Information Systems"
10.1016/j.jss.2014.03.081,"Hardware and Architecture, Software, Information Systems"
10.1007/s11590-008-0108-3,Control and Optimization
10.1109/TPAMI.2014.2315814,"Computational Theory and Mathematics, Software, Applied Mathematics, Artificial Intelligence, Computer Vision and Pattern Recognition"
10.1016/j.peva.2014.07.021,"Modelling and Simulation, Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.imavis.2008.10.003,Computer Vision and Pattern Recognition
10.1007/s10994-013-5339-6,"Software, Artificial Intelligence"
10.1109/LRA.2018.2809700,"Artificial Intelligence, Computer Vision and Pattern Recognition, Computer Science Applications"
10.1007/s11590-008-0108-3,Control and Optimization
10.1109/TPAMI.2014.2315814,"Computational Theory and Mathematics, Software, Applied Mathematics, Artificial Intelligence, Computer Vision and Pattern Recognition"
10.1016/j.peva.2014.07.021,"Modelling and Simulation, Computer Networks and Communications, Hardware and Architecture, Software"
10.1016/j.imavis.2008.10.003,Computer Vision and Pattern Recognition
10.1007/s10994-013-5339-6,"Software, Artificial Intelligence"
10.1109/LRA.2018.2809700,"Artificial Intelligence, Computer Vision and Pattern Recognition, Computer Science Applications"
10.1080/0144929X.2018.1436592,"Human-Computer Interaction, Arts and Humanities (miscellaneous), General Social Sciences, Developmental and Educational Psychology"
10.1016/j.csi.2018.11.007,"Hardware and Architecture, Software, Law"
10.1016/j.csi.2013.02.003,"Hardware and Architecture, Software, Law"
10.1016/j.csi.2014.05.004,"Hardware and Architecture, Software, Law"
10.1016/j.csi.2008.09.030,"Hardware and Architecture, Software, Law"
10.1016/j.is.2018.05.002,"Hardware and Architecture, Software, Information Systems"
10.4018/ijismd.2013100104,"Management of Technology and Innovation, Information Systems"
10.1016/j.future.2013.11.001,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1109/TKDE.2008.187,"Computational Theory and Mathematics, Information Systems, Computer Science Applications"
10.3233/RFT-171671,"Management of Technology and Innovation, Signal Processing, Electrical and Electronic Engineering, Industrial and Manufacturing Engineering, Management Information Systems"
10.1007/s10844-018-0501-z,"Computer Networks and Communications, Hardware and Architecture, Software, Artificial Intelligence, Information Systems"
10.1016/j.is.2018.05.002,"Hardware and Architecture, Software, Information Systems"
10.4018/ijismd.2013100104,"Management of Technology and Innovation, Information Systems"
10.1016/j.future.2013.11.001,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1109/TKDE.2008.187,"Computational Theory and Mathematics, Information Systems, Computer Science Applications"
10.3233/RFT-171671,"Management of Technology and Innovation, Signal Processing, Electrical and Electronic Engineering, Industrial and Manufacturing Engineering, Management Information Systems"
10.1007/s10844-018-0501-z,"Computer Networks and Communications, Hardware and Architecture, Software, Artificial Intelligence, Information Systems"
10.1016/j.compmedimag.2018.03.002,"Radiological and Ultrasound Technology, Health Informatics, Radiology Nuclear Medicine and imaging, Computer Vision and Pattern Recognition, Computer Graphics and Computer-Aided Design"
10.1016/j.patrec.2018.05.022,"Signal Processing, Software, Artificial Intelligence, Computer Vision and Pattern Recognition"
10.1016/j.imavis.2013.12.014,Computer Vision and Pattern Recognition
10.1007/s11760-013-0451-4,"Signal Processing, Electrical and Electronic Engineering"
10.1109/JBHI.2018.2817485,"Biotechnology, Electrical and Electronic Engineering, Health Information Management, Computer Science Applications"
10.1016/j.patcog.2014.02.017,"Signal Processing, Software, Artificial Intelligence, Computer Vision and Pattern Recognition"
10.1109/TIP.2005.860334,"Software, Computer Graphics and Computer-Aided Design"
10.1016/j.neucom.2018.04.065,"Cognitive Neuroscience, Artificial Intelligence, Computer Science Applications"
10.1016/j.comnet.2013.07.014,Computer Networks and Communications
10.1016/j.comnet.2018.03.020,Computer Networks and Communications
10.1109/TDSC.2013.30,Electrical and Electronic Engineering
10.1016/j.comcom.2008.07.001,Computer Networks and Communications
10.1007/s00607-014-0404-y,"Theoretical Computer Science, Computational Theory and Mathematics, Software, Numerical Analysis, Computational Mathematics, Computer Science Applications"
10.1109/TPDS.2013.39,"Signal Processing, Hardware and Architecture, Computational Theory and Mathematics"
10.1016/j.websem.2014.02.001,"Human-Computer Interaction, Computer Networks and Communications, Software"
10.1109/TSE.2018.2833109,Software
10.1016/j.ipl.2013.06.002,"Signal Processing, Theoretical Computer Science, Information Systems, Computer Science Applications"
10.1007/s000370100000,"Theoretical Computer Science, Computational Theory and Mathematics, General Mathematics, Computational Mathematics"
10.1002/1521-3870(200111)47:4<461::AID-MALQ461>3.0.CO;2-B,Logic
10.1016/j.knosys.2018.03.030,"Software, Information Systems and Management, Management Information Systems, Artificial Intelligence"
10.1017/S135132491700047X,"Linguistics and Language, Software, Artificial Intelligence, Language and Linguistics"
10.1016/j.ress.2018.04.009,"Industrial and Manufacturing Engineering, Safety, Risk, Reliability and Quality"
10.1016/j.ijcip.2014.01.003,"Modelling and Simulation, Information Systems and Management, Safety, Risk, Reliability and Quality, Computer Science Applications"
10.1109/JCN.2006.6182910,"Computer Networks and Communications, Information Systems"
10.1016/j.comnet.2005.06.003,Computer Networks and Communications
10.1016/j.comcom.2005.07.024,Computer Networks and Communications
10.1016/j.compeleceng.2016.03.004,"Control and Systems Engineering, Electrical and Electronic Engineering, General Computer Science"
10.1016/j.jnca.2018.05.012,"Computer Networks and Communications, Hardware and Architecture, Computer Science Applications"
10.1007/s10845-013-0824-0,"Industrial and Manufacturing Engineering, Software, Artificial Intelligence"
10.1007/s12083-013-0236-0,"Computer Networks and Communications, Software"
10.5626/JCSE.2013.7.1.44,"General Engineering, Computer Science Applications"
10.1007/s10586-018-2815-6,"Computer Networks and Communications, Software"
10.1007/s10878-013-9644-6,"Computational Theory and Mathematics, Control and Optimization, Applied Mathematics, Discrete Mathematics and Combinatorics, Computer Science Applications"
